Freq [GHz],Phase [deg],Distance [mm],Mag_E [V_per_meter]
2.4,90,0,0.208970004
2.4,90,2.40004,0.298769092
2.4,90,4.80008,0.384841682
2.4,90,7.20012,0.465209543
2.4,90,9.60016,0.539793846
2.4,90,12.0002,0.608468177
2.4,90,14.40024,0.668280772
2.4,90,16.80028,0.718979131
2.4,90,19.20032,0.760563857
2.4,90,21.60036,0.789054096
2.4,90,24.0004,0.796437482
2.4,90,26.40044,0.794513373
2.4,90,28.80048,0.783281651
2.4,90,31.20052,0.762742312
2.4,90,33.60056,0.732895459
2.4,90,36.0006,0.691551081
2.4,90,38.40064,0.638725491
2.4,90,40.80068,0.579503651
2.4,90,43.20072,0.513885946
2.4,90,45.60076,0.441872053
2.4,90,48.0008,0.36346094
2.4,90,50.40084,0.276146326
2.4,90,52.80088,0.165192603
2.4,90,55.20092,0.063652752
2.4,90,57.60096,0.043887521
2.4,90,60.001,0.155193324
2.4,90,62.40104,0.27194583
2.4,90,64.80108,0.339650166
2.4,90,67.20112,0.385269663
2.4,90,69.60116,0.408705702
2.4,90,72.0012,0.409889786
2.4,90,74.40124,0.388783546
2.4,90,76.80128,0.345378734
2.4,90,79.20132,0.279697226
2.4,90,81.60136,0.070292352
2.4,90,84.0014,0.000791166
2.4,90,86.40144,0.057686412
2.4,90,88.80148,0.158360148
2.4,90,91.20152,0.250401153
2.4,90,93.60156,0.311604921
2.4,90,96.0016,0.349973666
2.4,90,98.40164,0.40371632
2.4,90,100.80168,0.380294895
2.4,90,103.20172,0.330237935
2.4,90,105.60176,0.260335925
2.4,90,108.0018,0.170566192
2.4,90,110.40184,0.069753812
2.4,90,112.80188,0.106280072
2.4,90,115.20192,0.184538933
2.4,90,117.60196,0.284790345
2.4,90,120.002,0.392068012
2.4,90,122.40204,0.496179386
2.4,90,124.80208,0.59170567
2.4,90,127.20212,0.678001815
2.4,90,129.60216,0.759196523
2.4,90,132.0022,0.843611026
2.4,90,134.40224,0.887806573
2.4,90,136.80228,0.916393518
2.4,90,139.20232,0.934056592
2.4,90,141.60236,0.940267949
2.4,90,144.0024,0.935563149
2.4,90,146.40244,0.919941942
2.4,90,148.80248,0.893405573
2.4,90,151.20252,0.855956781
2.4,90,153.60256,0.8075998
2.4,90,156.0026,0.748340361
2.4,90,158.40264,0.677856589
2.4,90,160.80268,0.637388322
2.4,90,163.20272,0.508799293
2.4,90,165.60276,0.362479981
2.4,90,168.0028,0.232858407
2.4,90,170.40284,0.139465237
2.4,90,172.80288,0.095823444
2.4,90,175.20292,0.106886883
2.4,90,177.60296,0.169040284
2.4,90,180.003,0.270099255
2.4,90,182.40304,0.389310286
2.4,90,184.80308,0.497738834
2.4,90,187.20312,0.58999997
2.4,90,189.60316,0.672360602
2.4,90,192.0032,0.744816811
2.4,90,194.40324,0.807365872
2.4,90,196.80328,0.86000625
2.4,90,199.20332,0.9027376
2.4,90,201.60336,0.935560768
2.4,90,204.0034,0.958477792
2.4,90,206.40344,0.971491899
2.4,90,208.80348,0.951051803
2.4,90,211.20352,0.916394872
2.4,90,213.60356,0.870874636
2.4,90,216.0036,0.814490118
2.4,90,218.40364,0.747241031
2.4,90,220.80368,0.669127784
2.4,90,223.20372,0.581469944
2.4,90,225.60376,0.487669841
2.4,90,228.0038,nan
2.4,90,230.40384,nan
2.4,90,232.80388,nan
2.4,90,235.20392,nan
2.4,90,237.60396,nan
2.4,90,240.004,nan
